v8-version,7,8,279,23,-node.34,0
code-creation,Builtin,3,17820,0x1346800,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,17837,0x1346840,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,17853,0x1346880,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,17870,0x13468e0,287,CallApiCallback
code-creation,Builtin,3,17885,0x1346a00,269,CallApiGetter
code-creation,Builtin,3,17900,0x1346b20,12,HandleApiCall
code-creation,Builtin,3,17914,0x1346b40,12,HandleApiCallAsFunction
code-creation,Builtin,3,17930,0x1346b60,12,HandleApiCallAsConstructor
code-creation,Builtin,3,17947,0x1346b80,92,AllocateInYoungGeneration
code-creation,Builtin,3,17963,0x1346be0,80,AllocateRegularInYoungGeneration
code-creation,Builtin,3,17981,0x1346c40,92,AllocateInOldGeneration
code-creation,Builtin,3,17997,0x1346ca0,80,AllocateRegularInOldGeneration
code-creation,Builtin,3,18013,0x1346d00,498,CopyFastSmiOrObjectElements
code-creation,Builtin,3,18029,0x1346f00,583,GrowFastDoubleElements
code-creation,Builtin,3,18045,0x1347160,478,GrowFastSmiOrObjectElements
code-creation,Builtin,3,18062,0x1347340,453,NewArgumentsElements
code-creation,Builtin,3,18078,0x1347520,496,DebugBreakTrampoline
code-creation,Builtin,3,18093,0x1347720,141,FrameDropperTrampoline
code-creation,Builtin,3,18109,0x13477c0,45,HandleDebuggerStatement
code-creation,Builtin,3,18125,0x1347800,282,ToObject
code-creation,Builtin,3,18139,0x1347920,104,ToBoolean
code-creation,Builtin,3,18163,0x13479a0,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,18179,0x1347ac0,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,18194,0x1347be0,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,18211,0x1347cc0,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,18228,0x1347da0,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,18245,0x1347e80,85,StringToNumber
code-creation,Builtin,3,18297,0x1347ee0,129,ToName
code-creation,Builtin,3,18312,0x1347f80,243,NonNumberToNumber
code-creation,Builtin,3,18327,0x1348080,259,NonNumberToNumeric
code-creation,Builtin,3,18343,0x13481a0,235,ToNumber
code-creation,Builtin,3,18355,0x13482a0,272,ToNumberConvertBigInt
code-creation,Builtin,3,18370,0x13483c0,275,ToNumeric
code-creation,Builtin,3,18383,0x13484e0,261,NumberToString
code-creation,Builtin,3,18397,0x1348600,466,ToInteger
code-creation,Builtin,3,18410,0x13487e0,478,ToInteger_TruncateMinusZero
code-creation,Builtin,3,18427,0x13489c0,394,ToLength
code-creation,Builtin,3,18477,0x1348b60,140,Typeof
code-creation,Builtin,3,18492,0x1348c00,69,GetSuperConstructor
code-creation,Builtin,3,18518,0x1348c60,133,BigIntToI64
code-creation,Builtin,3,18638,0x1348d00,12,BigIntToI32Pair
code-creation,Builtin,3,18653,0x1348d20,285,I64ToBigInt
code-creation,Builtin,3,18667,0x1348e40,12,I32PairToBigInt
code-creation,Builtin,3,18682,0x1348e60,112,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,18699,0x1348ee0,2585,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,18714,0x1349900,36,KeyedLoadIC_Slow
code-creation,Builtin,3,18728,0x1349940,16522,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,18743,0x134d9e0,40,KeyedStoreIC_Slow
code-creation,Builtin,3,18758,0x134da20,40,LoadGlobalIC_Slow
code-creation,Builtin,3,18772,0x134da60,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,18788,0x134dac0,36,LoadIC_Slow
code-creation,Builtin,3,18802,0x134db00,20,LoadIC_StringLength
code-creation,Builtin,3,18817,0x134db20,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,18834,0x134db40,2940,LoadIC_NoFeedback
code-creation,Builtin,3,18849,0x134e6c0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,18864,0x134e700,6704,StoreIC_NoFeedback
code-creation,Builtin,3,18878,0x1350140,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,18894,0x1350180,368,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,18910,0x1350300,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,18926,0x1350360,40,StoreInterceptorIC
code-creation,Builtin,3,18941,0x13503a0,536,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,18959,0x13505c0,536,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,18980,0x13507e0,536,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,19000,0x1350a00,536,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,19020,0x1350c20,40,StoreInArrayLiteralIC_Slow_Standard
code-creation,Builtin,3,19037,0x1350c60,5784,StoreFastElementIC_Standard
code-creation,Builtin,3,19053,0x1352300,6716,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,19072,0x1353d40,5776,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,19090,0x13553e0,3220,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,19109,0x1356080,40,StoreInArrayLiteralIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,19129,0x13560c0,40,StoreInArrayLiteralIC_Slow_NoTransitionIgnoreOOB
