v8-version,7,8,279,23,-node.34,0
code-creation,Builtin,3,14956,0x13467c0,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,14972,0x1346800,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,14989,0x1346840,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,15005,0x1346880,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,15022,0x13468e0,287,CallApiCallback
code-creation,Builtin,3,15037,0x1346a00,269,CallApiGetter
code-creation,Builtin,3,15051,0x1346b20,12,HandleApiCall
code-creation,Builtin,3,15066,0x1346b40,12,HandleApiCallAsFunction
code-creation,Builtin,3,15082,0x1346b60,12,HandleApiCallAsConstructor
code-creation,Builtin,3,15102,0x1346b80,92,AllocateInYoungGeneration
code-creation,Builtin,3,15120,0x1346be0,80,AllocateRegularInYoungGeneration
code-creation,Builtin,3,15139,0x1346c40,92,AllocateInOldGeneration
code-creation,Builtin,3,15157,0x1346ca0,80,AllocateRegularInOldGeneration
code-creation,Builtin,3,15175,0x1346d00,498,CopyFastSmiOrObjectElements
code-creation,Builtin,3,15194,0x1346f00,583,GrowFastDoubleElements
code-creation,Builtin,3,15212,0x1347160,478,GrowFastSmiOrObjectElements
code-creation,Builtin,3,15231,0x1347340,453,NewArgumentsElements
code-creation,Builtin,3,15247,0x1347520,496,DebugBreakTrampoline
code-creation,Builtin,3,15274,0x1347720,141,FrameDropperTrampoline
code-creation,Builtin,3,15290,0x13477c0,45,HandleDebuggerStatement
code-creation,Builtin,3,15307,0x1347800,282,ToObject
code-creation,Builtin,3,15323,0x1347920,104,ToBoolean
code-creation,Builtin,3,15349,0x13479a0,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,15367,0x1347ac0,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,15385,0x1347be0,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,15402,0x1347cc0,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,15420,0x1347da0,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,15438,0x1347e80,85,StringToNumber
code-creation,Builtin,3,15453,0x1347ee0,129,ToName
code-creation,Builtin,3,15467,0x1347f80,243,NonNumberToNumber
code-creation,Builtin,3,15482,0x1348080,259,NonNumberToNumeric
code-creation,Builtin,3,15498,0x13481a0,235,ToNumber
code-creation,Builtin,3,15513,0x13482a0,272,ToNumberConvertBigInt
code-creation,Builtin,3,15532,0x13483c0,275,ToNumeric
code-creation,Builtin,3,15548,0x13484e0,261,NumberToString
code-creation,Builtin,3,15564,0x1348600,466,ToInteger
code-creation,Builtin,3,15580,0x13487e0,478,ToInteger_TruncateMinusZero
code-creation,Builtin,3,15598,0x13489c0,394,ToLength
code-creation,Builtin,3,15613,0x1348b60,140,Typeof
code-creation,Builtin,3,15636,0x1348c00,69,GetSuperConstructor
code-creation,Builtin,3,15652,0x1348c60,133,BigIntToI64
code-creation,Builtin,3,15666,0x1348d00,12,BigIntToI32Pair
code-creation,Builtin,3,15681,0x1348d20,285,I64ToBigInt
code-creation,Builtin,3,15696,0x1348e40,12,I32PairToBigInt
code-creation,Builtin,3,15711,0x1348e60,112,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,15727,0x1348ee0,2585,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,15744,0x1349900,36,KeyedLoadIC_Slow
code-creation,Builtin,3,15760,0x1349940,16522,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,15779,0x134d9e0,40,KeyedStoreIC_Slow
code-creation,Builtin,3,15796,0x134da20,40,LoadGlobalIC_Slow
code-creation,Builtin,3,15813,0x134da60,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,15830,0x134dac0,36,LoadIC_Slow
code-creation,Builtin,3,15847,0x134db00,20,LoadIC_StringLength
code-creation,Builtin,3,15863,0x134db20,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,15887,0x134db40,2940,LoadIC_NoFeedback
code-creation,Builtin,3,15902,0x134e6c0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,15918,0x134e700,6704,StoreIC_NoFeedback
code-creation,Builtin,3,15935,0x1350140,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,15952,0x1350180,368,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,15969,0x1350300,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,15986,0x1350360,40,StoreInterceptorIC
code-creation,Builtin,3,16003,0x13503a0,536,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,16021,0x13505c0,536,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,16042,0x13507e0,536,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,16063,0x1350a00,536,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,16083,0x1350c20,40,StoreInArrayLiteralIC_Slow_Standard
code-creation,Builtin,3,16102,0x1350c60,5784,StoreFastElementIC_Standard
code-creation,Builtin,3,16118,0x1352300,6716,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,16135,0x1353d40,5776,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,16154,0x13553e0,3220,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,16174,0x1356080,40,StoreInArrayLiteralIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,16194,0x13560c0,40,StoreInArrayLiteralIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,16213,0x1356100,40,StoreInArrayLiteralIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,16233,0x1356140,40,KeyedStoreIC_Slow_Standard
code-creation,Builtin,3,16251,0x1356180,40,KeyedStoreIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,16270,0x13561c0,40,KeyedStoreIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,16289,0x1356200,40,KeyedStoreIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,16307,0x1356240,9184,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,16330,0x1358640,18756,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,16350,0x135cfa0,9184,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,16369,0x135f3a0,12032,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,16387,0x13622c0,764,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,16403,0x13625c0,328,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,16422,0x1362720,80,HasIndexedInterceptorIC
code-creation,Builtin,3,16440,0x1362780,36,HasIC_Slow
code-creation,Builtin,3,16455,0x13627c0,181,EnqueueMicrotask
code-creation,Builtin,3,16471,0x1362880,8,RunMicrotasksTrampoline
code-creation,Builtin,3,16487,0x13628a0,2012,RunMicrotasks
code-creation,Builtin,3,16504,0x1363080,2182,HasProperty
code-creation,Builtin,3,16519,0x1363920,1364,DeleteProperty
code-creation,Builtin,3,16534,0x1363e80,1912,CopyDataProperties
code-creation,Builtin,3,16549,0x1364600,8607,SetDataProperties
code-creation,Builtin,3,16565,0x13667a0,36,Abort
code-creation,Builtin,3,16580,0x13667e0,36,AbortCSAAssert
code-creation,Builtin,3,16596,0x1366820,12,EmptyFunction
code-creation,Builtin,3,16612,0x1366840,12,Illegal
code-creation,Builtin,3,16636,0x1366860,12,StrictPoisonPillThrower
code-creation,Builtin,3,16653,0x1366880,12,UnsupportedThrower
code-creation,Builtin,3,16670,0x13668a0,65,ReturnReceiver
code-creation,Builtin,3,16686,0x1366900,36,ArrayConstructor
code-creation,Builtin,3,16720,0x1366940,413,ArrayConstructorImpl
code-creation,Builtin,3,16736,0x1366ae0,233,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,16755,0x1366be0,233,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,16776,0x1366ce0,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,16797,0x1366dc0,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,16819,0x1366ea0,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,16840,0x1366f80,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,16861,0x1367060,209,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,16882,0x1367140,209,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,16903,0x1367220,313,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,16922,0x1367360,533,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,16940,0x1367580,249,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,16972,0x1367680,413,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,16990,0x1367820,249,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,17006,0x1367920,413,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,17023,0x1367ac0,249,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,17041,0x1367bc0,429,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,17059,0x1367d80,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,17073,0x1367de0,5,InternalArrayConstructor
code-creation,Builtin,3,17089,0x1367e00,5,InternalArrayConstructorImpl
code-creation,Builtin,3,17103,0x1367e20,189,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,17117,0x1367ee0,12,ArrayConcat
code-creation,Builtin,3,17129,0x1367f00,150,ArrayIsArray
code-creation,Builtin,3,17141,0x1367fa0,12,ArrayPrototypeFill
